skill_name
Python
Java
C++
JavaScript
TypeScript
React
Angular
Vue
Node.js
Django
Flask
FastAPI
SQL
NoSQL
PostgreSQL
MongoDB
AWS
Azure
Google Cloud
Docker
Kubernetes
Git
Jenkins
Machine Learning
Deep Learning
Data Science
NLP
TensorFlow
PyTorch
Pandas
NumPy
Scikit-Learn
Tableau
Power BI
Excel
